"","Bronx County","Kings County","New York County","Queens County","Richmond County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"6133",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1393,298,2016,55.2,45.5,1020,9.4,4.4,999.9,68,42.1,0,0,0,0.822784810126582
"6136",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1396,301,2016,55.5,51.7,1014.8,6.6,8.3,999.9,68,42.1,0,0,1,0.789029535864979
"6142",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1402,307,2016,59.4,54,1006.2,6.9,8.1,999.9,70,45,0.1,0,1,0.637130801687764
"6146",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1406,311,2016,55.7,46.4,1004,8.9,16.3,35.9,70,52,0.09,0,0,0.506329113924051
"6152",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1412,317,2016,50.8,31.4,1012.1,10,19.8,36.9,60.1,46,0,0,0,0.679324894514768
"6155",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1415,320,2016,55,44.5,1019.8,10,11.9,24.1,63,46,0,0,0,0.607594936708861
"6163",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1423,328,2016,55.5,45.2,1019.6,10,11,27,63,48,0.06,0,0,0.675105485232067
"6167",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1427,332,2016,53.9,44.5,1019.1,10,6.7,15,63,45,0.05,0,0,0.666666666666667
"6171",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1431,336,2016,56.4,47.9,1021.7,10,6.6,999.9,70,46,0,0,0,0.772151898734177
"6178",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1438,343,2016,55.7,48.8,1021,9.7,6.5,999.9,70,46,0,0,0,0.611814345991561
"6181",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1441,346,2016,56.3,52.2,1009.8,9,14.2,28.9,62.1,46.9,0.07,0,0,0.687763713080169
"6185",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1445,350,2016,59.4,50.3,1011.9,10,9.6,999.9,72,52,0.03,0,0,0.632911392405063
"6190",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1450,355,2016,54.6,52,1011.7,4.4,10.7,18.1,72,51.1,0,0,1,0.734177215189873
"6199",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1459,364,2016,57.9,53.4,1015.7,7.7,8.7,999.9,64,51.1,0.01,0,0,0.683544303797468
"6204",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1098,3,2016,65.7,53.9,1018.1,9.7,7.7,21,78.1,54,0,0,0,0.755274261603376
"6207",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1101,6,2016,60,55.8,1020,6.5,8.2,999.9,78.1,55.9,0,0,1,0.725738396624473
"6214",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1108,13,2016,62.5,57.3,1020.2,9.2,11.6,24.1,68,55.9,0,0,0,0.721518987341772
"6215",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1109,14,2016,64.6,58.2,1021.1,10,7.7,999.9,75,59,0,0,0,0.662447257383966
"6221",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1115,20,2016,62.4,60.5,1017,2,9,22,75,59,0.01,0,1,0.535864978902954
"6226",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1120,25,2016,62.8,60.6,1014.4,4.9,10.1,24.1,70,60.1,0.03,0,1,0.843881856540084
"6234",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1128,33,2016,64,56.4,1018.2,7.6,9.1,22,73,57,0.05,0,1,0.79746835443038
"6235",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1129,34,2016,55.7,53.5,1021.8,6.8,9.3,15,73,52,0.01,0,1,0.763713080168776
"6244",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1138,43,2016,58.4,55.9,1018.3,7.8,6.7,999.9,64.4,55,0,0,0,0.751054852320675
"6249",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1143,48,2016,60.2,58,1015.6,4.2,5.3,999.9,73.9,54,0,0,1,0.658227848101266
"6254",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1148,53,2016,58.4,56.9,1012.4,3.4,10.3,26,73.9,54,0,0,1,0.485232067510549
"6259",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1153,58,2016,62.9,61.1,1004.2,3.9,12.3,32.1,69.1,55,1.79,0,1,0.810126582278481
"6263",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1157,62,2016,61.2,59.8,1002.7,3.8,8.7,999.9,69.1,59,0,0,1,0.772151898734177
"6267",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1161,66,2016,61.7,55.2,998.6,8.4,12.6,28,66.9,57.9,0,0,1,0.827004219409283
"6274",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1168,73,2016,59.9,46.7,1003.8,10,16.7,32.1,68,54,0.01,0,0,0.624472573839662
"6279",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1173,78,2016,59.2,45.1,1011.3,10,10.6,22.9,68,53.1,0,0,0,0.827004219409283
"6282",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1176,81,2016,58.1,53.3,1014.9,9.8,9.6,20,64,53.1,0,0,0,0.565400843881857
"6286",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1180,85,2016,66,56,1001.7,7.3,12.5,31.1,81,55,0.06,0,0,0.523206751054852
"6294",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1188,93,2016,61.5,47.2,1004.4,10,13.3,28,81,54,0,0,0,0.742616033755274
"6295",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1189,94,2016,62.2,50,1008.3,10,12.9,26,72,54,0,0,0,0.675105485232067
"6301",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1195,100,2016,63.7,55,1011.7,10,8.9,999.9,73.9,55,0,0,0,0.578059071729958
"6308",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1202,107,2016,65.2,56.3,1009.1,10,6.6,21,73.9,55,0,0,0,0.649789029535865
"6314",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1208,113,2016,63,51.5,1012.4,10,7.4,999.9,73,55.9,0,0,0,0.628691983122363
"6318",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1212,117,2016,62.6,53.5,1021.7,10,7.3,999.9,73,53.1,0,0,0,0.675105485232067
"6323",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1217,122,2016,59.9,51.5,1027.6,10,9.8,999.9,73,53.1,0,0,0,0.540084388185654
"6328",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1222,127,2016,61.4,55.9,1022.8,10,8.6,999.9,66.9,54,0,0,0,0.713080168776371
"6333",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1227,132,2016,63.6,59.9,1010.5,7.4,12.2,27,69.1,57,0.13,0,0,0.637130801687764
"6335",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1229,134,2016,65.6,60.2,1009.3,7.2,7.9,21,71.1,55.9,0.09,0,0,0.755274261603376
"6343",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1237,142,2016,63,59.4,1012.3,8.3,7,999.9,71.1,55.9,0,0,1,0.569620253164557
"6346",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1240,145,2016,65.3,56.6,1015.9,8.8,7.8,999.9,75,57,0,0,0,0.746835443037975
"6350",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1244,149,2016,62.1,52.1,1021.7,10,8,18.1,75,53.1,0,0,0,0.70042194092827
"6359",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1253,158,2016,60.8,49.4,1023.3,10,5.7,999.9,71.1,50,0,0,0,0.523206751054852
"6364",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1258,163,2016,64.3,58.3,1020.6,10,9.3,999.9,71.1,50,0,0,0,0.60337552742616
"6369",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1263,168,2016,66.1,64,1017.2,7.5,8.1,999.9,71.1,60.1,0,0,1,0.654008438818565
"6372",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1266,171,2016,67.2,64.8,1012.9,7.2,7.5,999.9,72,64,0,0,1,0.620253164556962
"6377",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1271,176,2016,68.9,63.6,1014.4,5.9,6.4,999.9,77,63,0,0,1,0.632911392405063
"6380",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1274,179,2016,66.9,63.6,1017.1,7.8,8.7,999.9,77,61,0,0,1,0.666666666666667
"6388",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1282,187,2016,69.4,62.8,1011.9,7.2,11.8,33,75.9,61,0.76,0,1,0.594936708860759
"6393",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1287,192,2016,67.2,58,1017.1,10,9.6,999.9,75.9,55.9,0,0,0,0.421940928270042
"6399",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1293,198,2016,68.4,62.6,1017.2,9.9,11.7,999.9,75.9,55.9,0,0,0,0.409282700421941
"6403",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1297,202,2016,67.1,65.3,1009.7,6.2,9.2,999.9,75.9,64,0.62,0,1,0.616033755274262
"6405",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1299,204,2016,71.8,65.3,1009.9,8.6,6.5,999.9,81,64,1.5,0,1,0.687763713080169
"6411",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1305,210,2016,68.7,66.7,1010.4,4.1,5.9,999.9,81,64,0,0,1,0.544303797468354
"6419",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1313,218,2016,65.7,64.2,1009.2,3.2,10,27,70,60.8,0.32,0,1,0.544303797468354
"6420",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1314,219,2016,61.7,58.6,1011.6,6.5,10.8,999.9,70,59,0.62,0,0,0.443037974683544
"6428",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1322,227,2016,63,60.1,1010.6,6.8,7.7,999.9,70,59,0.1,0,1,0.421940928270042
"6431",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1325,230,2016,63.1,58.4,1016.8,9.9,4.9,999.9,70,55,0.01,0,0,0.582278481012658
"6438",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1332,237,2016,66.7,61.2,1019.1,10,7.3,999.9,78.1,55,0,0,0,0.637130801687764
"6443",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1337,242,2016,67.2,63.3,1019.3,10,9.2,999.9,78.1,57.9,0,0,0,0.544303797468354
"6445",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1339,244,2016,69.1,65.9,1016,9.3,10.9,22,75,64,0,0,0,0.611814345991561
"6451",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1345,250,2016,70.7,67.9,1011.3,5.2,9.6,21,75,66,0,0,1,0.713080168776371
"6458",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1352,257,2016,73.5,67.3,1015.4,7,6.4,999.9,84.9,66.9,0,0,0,0.641350210970464
"6462",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1356,261,2016,70.6,68.7,1019.1,4.1,6.6,999.9,84.9,66.9,0,0,1,0.578059071729958
"6469",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1363,268,2016,71.1,69,1018.1,4.1,10.1,24.1,75.9,66,0,0,1,0.649789029535865
"6471",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1365,270,2016,73.8,65.7,1015.8,8.3,10.1,25.1,81,66.9,0,0,0,0.670886075949367
"6477",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1371,276,2016,68.3,55.6,1020.9,10,6.9,999.9,81,60.1,0,0,0,0.658227848101266
"6484",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1378,283,2016,70.4,63.4,1020.2,10,7.4,999.9,80.1,60.1,0,0,0,0.679324894514768
"6489",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1383,288,2016,72.4,68.4,1014.3,9,13.5,24.1,80.1,61,0,0,0,0.713080168776371
"6492",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1386,291,2016,74.3,68.6,1008.6,7.3,12,29.9,82,68,1.03,0,0,0.624472573839662
"6497",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1391,296,2016,73.2,63.2,1012.8,10,8.7,25.1,82,64.9,0,0,0,0.654008438818565
"6500",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1394,299,2016,71.5,68.8,1014,9.9,8.7,999.9,80.1,64.9,0,0,0,0.679324894514768
"6506",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1400,305,2016,75.3,69.3,1009.6,9,12.1,22.9,82,68,0,0,0,0.654008438818565
"6512",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1406,311,2016,75.4,66.3,1012.4,10,7,999.9,82,70,0,0,0,0.628691983122363
"6515",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1409,314,2016,72.2,69,1013.1,9.7,7.2,999.9,81,68,0,0,0,0.654008438818565
"6520",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1414,319,2016,70.8,68.3,1011.1,6,5.8,999.9,78.1,66.9,0,0,1,0.848101265822785
"6528",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1422,327,2016,70.8,66.9,1015,9,5.3,999.9,78.1,64.9,0.81,0,0,0.607594936708861
"6532",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1426,331,2016,67.5,64.8,1018.4,6.7,6.8,999.9,72,64.4,0,0,1,0.514767932489452
"6536",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1430,335,2016,68.2,62.4,1018.3,9.3,9.2,999.9,75,64,0.55,0,0,0.632911392405063
"6542",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1436,341,2016,66.9,61.9,1018.6,9.7,8.4,999.9,75,61,0.11,0,0,0.594936708860759
"6547",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1441,346,2016,67.4,60,1020.7,10,7.7,999.9,73.9,61,0,0,0,0.772151898734177
"6553",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1447,352,2016,64.2,57.8,1021.4,10,4.6,999.9,73.9,55.9,0,0,0,0.780590717299578
"6559",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1453,358,2016,65.3,60.4,1017.2,9.3,5,999.9,73.9,55,0,0,1,0.763713080168776
"6564",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1458,363,2016,71.3,67.5,1009.4,9.8,10.7,999.9,75.9,55,0,0,0,0.675105485232067
"6565",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1459,364,2016,74.2,65,1009,8.1,9.9,999.9,82,66.9,0,0,1,0.594936708860759
"6570",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1098,3,2016,71.3,61.3,1015.4,10,6.3,999.9,82,62.1,0,0,0,0.704641350210971
"6578",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1106,11,2016,71.5,64.7,1021.5,10,6.6,27,80.1,62.1,0,0,0,0.721518987341772
"6584",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1112,17,2016,70.6,67.2,1023.2,9.9,8.6,999.9,80.1,64,0,0,0,0.687763713080169
"6585",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1113,18,2016,73.6,71.8,1018.5,4.7,11.1,999.9,79,66.9,0.05,0,1,0.708860759493671
"6592",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1120,25,2016,74.3,72.2,1012.8,4.5,12.3,24.1,79,71.1,0,0,1,0.763713080168776
"6599",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1127,32,2016,75.9,73.3,1012.7,5.4,9.2,999.9,82.9,71.1,0,0,1,0.721518987341772
"6603",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1131,36,2016,75.3,73.3,1013.5,4.6,9.9,19,80.1,69.8,0.01,0,1,0.578059071729958
"6607",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1135,40,2016,77.5,69.4,1017.9,8.8,8.5,19,84,70,0,0,0,0.713080168776371
"6610",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1138,43,2016,73.1,69,1022.3,10,7.9,999.9,84,66.9,0,0,0,0.755274261603376
"6615",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1143,48,2016,76.5,70,1014.4,8.4,14.7,28,82,70,0,0,0,0.658227848101266
"6624",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1152,57,2016,71.5,65.7,1015.5,9.9,6.1,999.9,82,64.9,0,0,0,0.670886075949367
"6625",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1153,58,2016,74.4,65.7,1013.3,10,8.2,999.9,81,64.9,0,0,0,0.746835443037975
"6631",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1159,64,2016,69.1,62.1,1015.2,10,8.5,999.9,81,63,0,0,0,0.628691983122363
"6638",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1166,71,2016,68.3,63.6,1014.5,9.6,9,999.9,75.9,63,0,0,0,0.49789029535865
"6641",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1169,74,2016,73.8,66.7,1011,6.7,10.4,19,81,63,0.47,0,1,0.763713080168776
"6648",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1176,81,2016,69,52.6,1023.1,10,10.4,26,81,64,0.01,0,0,0.729957805907173
"6653",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1181,86,2016,70.1,63.3,1024.3,10,8.5,999.9,77,63,0,0,0,0.69620253164557
"6658",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1186,91,2016,71.7,66.5,1020.5,10,10.4,999.9,77,63,0,0,0,0.734177215189873
"6661",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1189,94,2016,73.4,70,1016.1,9.7,10.1,999.9,79,68,0,0,0,0.864978902953586
"6666",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1194,99,2016,74.4,64.2,1020.3,7.7,8.3,999.9,81,66.9,0,0,1,0.637130801687764
"6671",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1199,104,2016,67.7,61.7,1024.1,8.7,5.8,999.9,81,57.9,0,0,1,0.666666666666667
"6676",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1204,109,2016,72.5,66.3,1019,9.8,9.5,22,82.9,57.9,0,0,0,0.835443037974684
"6683",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1211,116,2016,67.7,59.2,1020,10,6.1,999.9,82.9,59,0,0,0,0.662447257383966
"6686",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1214,119,2016,70.4,65.7,1016,10,9.1,999.9,75.9,59,0,0,0,0.767932489451477
"6699",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1227,132,2016,69.2,63.2,1015.1,9.4,9.9,21,77,62.1,0.05,0,0,0.708860759493671
"6704",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1232,137,2016,63.2,57.5,1022,10,5.7,999.9,75,55.9,0,0,0,0.434599156118143
"6706",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1234,139,2016,65.3,57.4,1022,10,12.7,28.9,73,55.9,0,0,0,0.527426160337553
"6710",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1238,143,2016,64,59.8,1017.8,7,23.8,49,73,59,0,0,0,0.443037974683544
"6716",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1244,149,2016,69.9,65.8,1014.3,7.9,15.2,31.1,75.9,62.1,1.25,0,0,0.662447257383966
"6720",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1248,153,2016,70.3,66.8,1016.3,8.4,13.1,26,77,64.9,0.01,0,0,0.759493670886076
"6727",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1255,160,2016,68.5,66.8,1012,6.3,9,999.9,77,66,0.01,0,1,0.831223628691983
"6732",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1260,165,2016,71.4,68.3,1011.2,5.9,10.3,999.9,79,66,0.16,0,1,0.734177215189873
"6735",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1263,168,2016,71.9,67,1016.5,6.7,7,999.9,79,68,0,0,1,0.60337552742616
"6746",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1274,179,2016,65.1,52.1,1021.9,10,7.9,999.9,78.1,55.9,0,0,0,0.679324894514768
"6752",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1280,185,2016,64.1,55.9,1023,10,8.9,999.9,71.1,55.9,0,0,0,0.983122362869198
"6755",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1283,188,2016,68.4,61.8,1018.3,10,12.4,22.9,73.9,57.9,0,0,0,0.873417721518987
"6764",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1292,197,2016,64.5,53.4,1022,10,14.4,29.9,73.9,53.1,0,0,0,0.873417721518987
"6765",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1293,198,2016,57.7,47.7,1026.5,10,6.4,15,66.9,48,0,0,0,0.810126582278481
"6773",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1301,206,2016,62.6,57.6,1024.5,9.7,6,999.9,73,48,0,0,0,0.729957805907173
"6777",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1305,210,2016,70.6,67.3,1019.6,9.3,11.1,999.9,75,66.9,0,0,0,0.628691983122363
"6781",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1309,214,2016,71,68.8,1018.7,7.6,8.1,20,75,68,0,0,0,0.738396624472574
"6788",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1316,221,2016,71.1,69.3,1019.3,8.7,5.6,999.9,75,66,0.22,0,0,0.70042194092827
"6792",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1320,225,2016,70,64.4,1020.2,5.3,6.4,999.9,77,62.1,0.07,0,1,0.641350210970464
"6796",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1324,229,2016,67.2,57.8,1020.9,10,3.7,999.9,79,57.9,0,0,0,0.658227848101266
"6804",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1332,237,2016,66.3,62.1,1016.5,9.5,5.8,999.9,79,55.9,0,0,1,0.890295358649789
"6809",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1337,242,2016,60.7,49.5,1017.5,10,12.7,24.1,75.9,50,0.07,0,0,0.734177215189873
