"","day_index","day","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"2417",262,7,2013,9,66.3,8.8,9.8,0.44921875
"2423",263,4,2013,9,62.4,10,9.6,0.353515625
"2441",264,1,2013,9,59.8,10,8.2,0.541015625
"2443",265,4,2013,9,70.2,5.3,11.4,0.6640625
"2456",266,4,2013,9,67.4,10,10.4,0.26953125
"2457",267,6,2013,9,63.6,10,10.2,0.44921875
"2458",268,4,2013,9,56.8,10,8,0.314453125
"2472",269,5,2013,9,58.1,10,11.5,0.38671875
"2479",270,2,2013,9,65.5,10,10.1,0.53515625
"2483",271,7,2013,9,68,10,13.3,0.283203125
"2486",272,1,2013,9,59.5,9.8,10.4,0.48828125
"2517",273,2,2013,9,56.1,10,16.3,0.53125
"2550",274,6,2013,10,61.3,9.6,4.2,0.27734375
"2553",275,1,2013,10,51.5,10,4.6,0.166015625
"2554",276,2,2013,10,59.1,10,6.1,0.361328125
"2555",277,4,2013,10,65.8,10,6.5,0.458984375
"2560",278,5,2013,10,62.8,9.3,5.2,0.591796875
"2580",279,4,2013,10,59.4,7.9,6.1,0.427734375
"2585",280,6,2013,10,57.3,10,6.2,0.2265625
"2589",281,3,2013,10,46.8,10,5.2,0.396484375
"2594",282,2,2013,10,53.9,10,6.3,0.5078125
"2596",283,4,2013,10,54.8,9.1,6,0.5078125
"2601",284,3,2013,10,52.5,9.8,7.9,0.396484375
"2617",285,5,2013,10,48,10,9.2,0.5703125
"2619",286,3,2013,10,57.5,6.2,9.3,0.376953125
"2628",287,7,2013,10,59.1,6.9,7.2,0.095703125
"2636",288,2,2013,10,47.5,10,6.8,0.478515625
"2644",289,4,2013,10,58.4,10,11.6,0.3984375
"2645",290,1,2013,10,65.7,8.5,11.9,0.513671875
"2650",291,1,2013,10,54.4,10,7.1,0.509765625
"2652",292,2,2013,10,62.1,10,8,0.509765625
"2653",293,7,2013,10,58.3,10,9.4,0.263671875
"2657",294,4,2013,10,48.4,9.9,10.8,0.541015625
"2667",295,7,2013,10,55.1,10,11.4,0.287109375
"2691",296,3,2013,10,64.8,9.3,8.7,0.5703125
"2698",297,2,2013,10,61.5,8.7,12.2,0.427734375
"2732",298,5,2013,10,60.6,10,13.3,0.51953125
"2737",299,5,2013,10,62.3,8.8,11,0.634765625
"2755",300,1,2013,10,50.7,10,10.3,0.517578125
"2764",301,6,2013,10,58.6,10,13.2,0.392578125
"2766",302,3,2013,10,56.4,10,11.6,0.33984375
"2781",303,6,2013,10,49,10,13.7,0.529296875
"2785",304,7,2013,10,54.3,10,13.8,0.306640625
"2826",305,2,2013,11,43.5,10,3.9,0.302734375
"2838",307,4,2013,11,39,10,4.9,0.533203125
"2841",308,6,2013,11,51.2,9.6,6.5,0.501953125
"2857",309,6,2013,11,31.3,10,6.5,0.2421875
"2862",310,7,2013,11,48.9,6.8,7,0.345703125
"2872",311,5,2013,11,31.2,10,8.7,0.16015625
"2878",312,6,2013,11,57.4,6.4,5.6,0.3828125
"2897",313,3,2013,11,33.5,10,12.6,0.46484375
"2923",314,3,2013,11,38,10,14.5,0.4921875
"2925",315,5,2013,11,53,10,12.3,0.51171875
"2937",316,5,2013,11,46.2,9.4,5.6,0.677734375
"2941",317,6,2013,11,47.3,9.6,9.9,0.353515625
"2954",318,2,2013,11,44.4,10,11.3,1
"2977",319,1,2013,11,42,10,13.9,0.591796875
"2979",320,4,2013,11,57.8,7.1,11.4,0.568359375
"2981",321,5,2013,11,47.1,10,13.7,0.638671875
"2993",322,6,2013,11,41.7,10,12.9,0.421875
"2998",323,2,2013,11,47,9.8,14,0.478515625
"2999",324,1,2013,11,47.1,10,15.9,0.197265625
"3002",325,4,2013,11,42.8,10,14.2,0.517578125
"3014",326,2,2013,11,45.7,8.5,16.5,0.5703125
"3028",327,1,2013,11,55.9,5,13.5,0.5
"3029",328,5,2013,11,62.3,6.3,18.2,0.693359375
"3034",329,7,2013,11,49.4,8.8,12,0.1171875
"3036",330,4,2013,11,40.1,9.4,14.9,0.14453125
"3050",331,7,2013,11,52.5,10,13,0.232421875
"3059",332,1,2013,11,27,10,15.4,0.693359375
"3060",333,7,2013,11,30.5,10,18.3,0.271484375
"3075",334,3,2013,11,53.3,5.2,20,0.755859375
"3113",335,1,2013,12,44,7,7.1,0.37890625
"3117",336,3,2013,12,39.8,9.8,6.4,0.322265625
"3133",337,5,2013,12,42.5,8.3,7.4,0.623046875
"3136",338,4,2013,12,43.4,8.3,7.4,0.42578125
"3145",339,1,2013,12,48.7,3.5,6.7,0.6875
"3153",340,7,2013,12,43.1,9.8,10.9,0.126953125
"3156",341,6,2013,12,47.6,5.5,9,0.466796875
"3159",342,5,2013,12,50.6,3,8.4,0.7890625
"3163",343,4,2013,12,33.3,9.3,7.8,0.142578125
"3172",344,6,2013,12,26.9,8.1,10.7,0.654296875
"3180",345,7,2013,12,34,10,8.8,0.197265625
"3181",346,2,2013,12,28.5,9.4,10.1,0.21484375
"3197",347,5,2013,12,33.1,10,10,0.236328125
"3209",348,2,2013,12,38.8,6.7,9.1,0.359375
"3213",349,1,2013,12,32,10,12.5,0.556640625
"3229",351,2,2013,12,41.8,10,11.7,0.38671875
"3236",352,3,2013,12,31.8,9.9,12.8,0.48828125
"3244",353,6,2013,12,39.3,9.9,10.4,0.234375
"3247",354,2,2013,12,28.6,9,9.6,0.6796875
"3254",355,6,2013,12,39.7,7.8,11.8,0.4140625
"3257",356,4,2013,12,28.1,10,11.5,0.572265625
"3278",357,2,2013,12,38.4,8.8,13.4,0.3125
"3279",358,4,2013,12,39.1,10,13.8,0.4921875
"3297",359,1,2013,12,40.8,6.8,11.2,0.5546875
"3311",360,7,2013,12,51.9,2.1,15.2,0.29296875
"3319",361,3,2013,12,35.4,8.7,13,0.67578125
"3324",362,7,2013,12,43.2,6.9,7.8,0.076171875
"3328",363,5,2013,12,28.1,9.9,12.7,0.6640625
"3334",364,1,2013,12,42.5,8.8,14.1,0.236328125
"3337",365,7,2013,12,40,5.8,18.9,0.185546875
"36",366,5,2014,1,38.6,6.7,3.7,0.546875
"51",367,5,2014,1,28.8,9.7,5.8,0.720982142857143
