"","day","day_index","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"338",2,400,2014,2,42,9.5,9.1,0.15625
"342",4,401,2014,2,32.5,10,7.8,0.600446428571429
"346",7,402,2014,2,28.1,10,9,0.738839285714286
"358",2,403,2014,2,39.3,5.5,8.7,0.162946428571429
"364",4,404,2014,2,24,10,9.2,0.651785714285714
"369",6,406,2014,2,39.6,7.1,10.4,0.473214285714286
"379",6,407,2014,2,24.7,8.6,8.4,0.506696428571429
"388",5,408,2014,2,23.7,10,10.5,0.660714285714286
"391",5,409,2014,2,25.8,8.9,8,0.372767857142857
"402",6,410,2014,2,30.4,8.6,11.5,0.502232142857143
"418",3,411,2014,2,37.5,9.7,10.3,0.502232142857143
"425",3,412,2014,2,24.3,9.3,13.1,0.328125
"428",3,413,2014,2,28.9,9,9,0.745535714285714
"435",7,414,2014,2,42.2,3.9,10.4,0.448660714285714
"447",4,415,2014,2,27,10,15.5,0.377232142857143
"448",5,416,2014,2,35,8.9,12.3,0.464285714285714
"471",1,417,2014,2,41.4,7.1,11,0.542410714285714
"476",5,418,2014,2,32.3,6.3,9.2,0.276785714285714
"486",7,419,2014,2,20.3,9.6,12.5,0.694196428571429
"494",6,420,2014,2,37,6.3,13.4,0.229910714285714
"502",4,421,2014,2,28.2,9,12.7,0.388392857142857
"504",1,422,2014,2,35.2,7.3,11.8,0.383928571428571
"525",2,423,2014,2,29.8,7.5,20.2,0.267857142857143
"528",7,424,2014,2,40.2,5.7,20.1,1
"563",4,425,2014,3,26.5,10,4.1,0.290178571428571
"572",1,426,2014,3,24.1,10,5.2,0.341517857142857
"577",4,427,2014,3,24.8,10,8.3,0.419642857142857
"579",4,428,2014,3,41.3,8.3,9,0.370535714285714
"597",7,429,2014,3,29.4,10,8.4,0.421875
"599",3,430,2014,3,33.5,8.9,6.1,0.377232142857143
"600",5,431,2014,3,35,10,9.7,0.404017857142857
"603",2,432,2014,3,35.1,9.1,6.8,0
"604",2,433,2014,3,38.9,10,9.5,0.185267857142857
"607",4,434,2014,3,27.7,10,8.7,0.462053571428571
"608",2,435,2014,3,35.2,10,8.9,0.133928571428571
"614",1,436,2014,3,40.3,8.9,11,0.381696428571429
"620",1,437,2014,3,41.3,8.8,12,0.390625
"629",1,438,2014,3,44.9,4.5,10.2,0.502232142857143
"632",2,439,2014,3,35.3,10,10.7,0.151785714285714
"653",5,440,2014,3,43.4,7.2,9.6,0.381696428571429
"675",3,441,2014,3,28.5,10,14.2,0.390625
"691",7,442,2014,3,25.4,10,15.1,0.537946428571429
"693",2,443,2014,3,46.3,1.7,13.8,0.207589285714286
"700",7,444,2014,3,41.2,8.9,13.7,0.415178571428571
"708",5,445,2014,3,29.5,9.5,7.1,0.328125
"714",6,446,2014,3,26.3,9.1,16.4,0.477678571428571
"715",7,447,2014,3,39.3,9.6,14,0.546875
"720",1,448,2014,3,38.1,9.7,11.2,0.332589285714286
"726",6,449,2014,3,32.2,3.9,14.7,0.448660714285714
"734",6,450,2014,3,41.7,6.3,14.9,0.631696428571429
"740",3,451,2014,3,27.4,10,13.4,0.453125
"741",6,452,2014,3,28.4,10,18.2,0.433035714285714
"753",3,453,2014,3,27.3,5.8,11.2,0.214285714285714
"758",3,454,2014,3,37.8,6.1,21.3,0.479910714285714
"787",5,455,2014,3,30.8,4.7,28,0.488839285714286
"844",4,456,2014,4,49.5,10,5.6,0.256696428571429
"857",5,457,2014,4,39.3,10,5.6,0.390625
"861",3,458,2014,4,43.1,10,6.2,0.395089285714286
"877",1,459,2014,4,50.1,8.5,8.6,0.522321428571429
"880",1,460,2014,4,45.7,10,5.9,0.404017857142857
"884",2,461,2014,4,47,9.3,8.8,0.308035714285714
"890",2,462,2014,4,42.4,9.9,4.8,0.234375
"895",7,463,2014,4,40,10,7.7,0.620535714285714
"898",7,464,2014,4,40.4,9.9,9.1,0.339285714285714
"906",3,465,2014,4,42,10,7.4,0.421875
"908",6,466,2014,4,41.6,9.9,8.8,0.671875
"914",7,467,2014,4,49,10,10.5,0.609375
"920",5,468,2014,4,43.5,9.8,12.3,0.685267857142857
"925",6,469,2014,4,40.9,10,8.4,0.553571428571429
"930",2,470,2014,4,41.1,10,12.5,0.3125
"934",5,471,2014,4,49.5,9.2,8.6,0.428571428571429
"938",5,472,2014,4,46.8,9.6,10,0.560267857142857
